NET_IN_LAT,NET_IN_LONG,HAUL_DATE,WOLF EEL YOY,SABLEFISH YOY,ARROWTOOTH FLOUNDER YOY,PACIFIC SANDDAB YOY,SPECKLED SANDDAB YOY,SCULPIN YOY,NORTHERN ANCHOVY YOY,REX SOLE YOY,GREENLING YOY,SLENDER SOLE YOY,PACIFIC HAKE YOY,DOVER SOLE YOY,SILVER SALMON YOY,KING SALMON YOY,SALMON YOY,LINGCOD YOY,SMELT YOY,PAINTED GREENLING YOY,STARRY FLOUNDER YOY,RIGHT EYED FLATFISH YOY,TURBOT YOY,SAND SOLE YOY,GRUNT SCULPIN YOY,PACIFIC BONITO YOY,PACIFIC SARDINE YOY,PACIFIC MACKEREL YOY,SCOMBRID YOY,CABEZON YOY,BROWN ROCKFISH YOY,AURORA ROCKFISH YOY,REDBANDED ROCKFISH YOY,DARKBLOTCHED ROCKFISH YOY,CALICO ROCKFISH YOY,SPLITNOSE ROCKFISH YOY,GREENSTRIPED ROCKFISH YOY,WIDOW ROCKFISH YOY,YELLOWTAIL ROCKFISH YOY,CHILIPEPPER YOY,SQUARESPOT ROCKFISH YOY,SHORTBELLY ROCKFISH YOY,COWCOD YOY,BLACK ROCKFISH YOY,BLACKGILL ROCKFISH YOY,VERMILION ROCKFISH YOY,BLUE ROCKFISH YOY,SPECKLED ROCKFISH YOY,BOCACCIO YOY,CANARY ROCKFISH YOY,GRASS ROCKFISH YOY,YELLOWEYE ROCKFISH YOY,BANK ROCKFISH YOY,STRIPETAIL ROCKFISH YOY,HALFBANDED ROCKFISH YOY,OLIVE ROCKFISH YOY,TREEFISH YOY,PYGMY ROCKFISH YOY,SHARPCHIN ROCKFISH YOY,JACK MACKEREL YOY,OTHER ROCKFISH YOY,ROSY ROCKFISH GROUP YOY,BLACK-YELLOWTAIL ROCKFISH YOY,EEL LARVAE,PACIFIC TOMCOD YOY,COPPER ROCKFISH GROUP YOY,PUGET SOUND ROCKFISH YOY,IRISH LORD YOY,ARROWTOOTH FLOUNDER,PACIFIC SANDDAB,PACIFIC HERRING,NORTHERN ANCHOVY,REX SOLE,BROWN IRISH LORD,SLENDER SOLE,PACIFIC HAKE,DOVER SOLE,PINK SALMON,SILVER SALMON,KING SALMON,SALMON,LINGCOD,SMELT,CALIFORNIA HALIBUT,ENGLISH SOLE,STARRY FLOUNDER,CURLFIN SOLE,SAND SOLE,PACIFIC SARDINE,PACIFIC MACKEREL,CABEZON,BROWN ROCKFISH,YELLOWTAIL ROCKFISH,CHILIPEPPER,SHORTBELLY ROCKFISH,SPECKLED ROCKFISH,OLIVE ROCKFISH,SHARPCHIN ROCKFISH,CALIFORNIA TONGUEFISH,JACK MACKEREL,POACHER,PACIFIC SANDLANCE,TOPSMELT,JACKSMELT,HIGHFIN DRAGONFISH,BLACKSMELT,RONQUIL,PACIFIC VIPERFISH,PACIFIC SAURY,BLACKEYE GOBY,PELAGIC STINGRAY,CALIFORNIA HEADLIGHTFISH,THREESPINE STICKLEBACK,WHITE CROAKER,GOBY,SIXGILL SHARK,RATFISH,MEDUSAFISH,RAGFISH,LAMPREY,CALIFORNIA SMOOTHTONGUE,SNAILFISH,BLACKMOUTH EELPOUT,PALLID EELPOUT,SLENDER SNIPEFISH,BIGSCALE,DRAGONFISH,COMMON MOLA,MYCTOPHID,SNIPE EEL,BARRACUDINA,PACIFIC POMPANO,SPOOKFISH,PLAINFIN MIDSHIPMAN,BLUE SHARK,BIG SKATE,LONGNOSE SKATE,NORTH PACIFIC SPINY DOGFISH,HATCHETFISH,CALIFORNIA LANTERNFISH,PIPEFISH,CALIFORNIA LIZARDFISH,LONGFIN DRAGONFISH,BLUE LANTERNFISH,SMALLEYE SQUARETAIL,PACIFIC ELECTRIC RAY,KING-OF-THE-SALMON,COMBFISH,EELPOUT,SHARK,SKATE,MARKET SQUID,MANTIS SHRIMP,MYSID,SHRIMP,CARIDEAN SHRIMP,CRANGON SHRIMP,PELAGIC RED CRAB,SEA NETTLE,PHRONIMA,HETEROPOD,SPINY LOBSTER LARVAE,PANDALID SHRIMP,SQUID,GHOST SHRIMP,RED SHRIMP,GLASS SHRIMP,SERGESTID,OCTOPUS,PYROSOMA,ARMHOOK SQUID,SALP,PACIFIC ARGENTINE,LOOSEJAW,BLACKDRAGON,THETYS SALP,UMBRELLAMOUTH GULPER,OCTOPOTEUTHIS,BLACKBELLY DRAGONFISH,HUMBOLDT SQUID,BLACKTIP SQUID,BASEBALL SQUID,ROBUST CLUBHOOK SQUID,SWORD-TAIL SQUID,LIGHTFISH,FIRE SQUID,PURPLE-STRIPED JELLY,MOON JELLY,BERRYTEUTHIS,FRIED EGG JELLY,BLOB OCTOPUS,BOREAL CLUBHOOK SQUID,SUNBEAM LAMPFISH,ARGONAUT,TOTAL ROCKFISH YOY,TOTAL KRILL
36.8332,121.9688,5/20/2009,0,0,0,0,2,4,0,2,0,9,2,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,4,0,4,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,40,0,0,0,0,8,0,0,,,0,0,0,0,0,509,0,0,,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,25,8216
36.7692,121.8478,5/21/2009,0,0,0,2,12,0,0,1,0,0,0,4,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,7,0,0,0,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,2,,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,2,0,0,0,0,,0,0,19,5868
36.5862,122.1643,5/21/2009,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,2,9,2,0,6,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,8,0,0,0,0,1,,1,,0,0,0,,0,,0,0,4,0,0,0,0,0,0,0,0,0,0,,0,0,28,53136
36.57,122.0258,5/21/2009,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,17,0,0,0,520,0,,11,,0,0,0,,0,,0,0,6,0,0,8,0,0,0,0,0,0,0,,0,0,13,5800
36.6338,122.0372,5/22/2009,0,0,0,0,9,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,19,0,0,0,128,0,,6,,0,0,0,,0,,0,0,48,0,0,1,1,0,0,1,0,0,0,,0,0,11,11392
36.6857,122.094,5/22/2009,0,0,0,2,3,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,52,8,2,0,0,0,1,0,0,4,0,0,1,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,46,0,0,0,1792,4,,0,,0,0,0,,0,,0,0,12,1,0,0,0,0,0,0,0,0,0,,0,0,74,32512
36.9682,122.286,5/22/2009,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,6,1
36.9795,122.3675,5/22/2009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,,,0,0,3,0,0,0,0,1,,0,,0,0,0,,0,,0,0,0,0,0,2,0,0,0,1,0,0,0,,0,0,8,14592
36.9768,122.4173,5/23/2009,0,0,0,2,9,0,0,0,0,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,0,0,0,1,,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,37,0,0,0,,0,0,8,67200
36.973,122.58,5/23/2009,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,,,0,0,10,0,0,0,2376,3,,22,,0,0,0,,0,,0,0,2,0,0,0,0,0,0,15,0,0,0,,0,0,11,25344
