SPECIES,COMMON_NAME,SCI_NAME,SPECIES_GROUP,MATURITY,NOTES
31,WOLF-EEL YOY,Anarrhichthys ocellatus,Other Groundfish,Y,
39,SABLEFISH YOY,Anoplopoma fimbria,Other Groundfish,Y,
71,ARROWTOOTH FLOUNDER YOY,Atheresthes stomias,Flatfish,Y,
147,PACIFIC SANDDAB YOY,Citharichthys sordidus,Flatfish,Y,
148,SPECKLED SANDDAB YOY,Citharichthys stigmaeus,Flatfish,Y,
168,SCULPIN YOY,Cottidae,Cottid,Y,
209,NORTHERN ANCHOVY YOY,Engraulis mordax,Clupeoid,Y,
253,REX SOLE YOY,Glyptocephalus zachirus,Flatfish,Y,
279,GREENLING YOY,Hexagrammidae,Other Groundfish,Y,
364,SLENDER SOLE YOY,Lyopsetta exilis,Flatfish,Y,
382,PACIFIC HAKE YOY,Merluccius productus,Other Groundfish,Y,
387,DOVER SOLE YOY,Microstomus pacificus,Flatfish,Y,
440,SILVER SALMON YOY,Oncorhynchus kisutch,Salmonid,Y,
442,KING SALMON YOY,Oncorhynchus tshawytscha,Salmonid,Y,
443,SALMON YOY,Oncorhynchus spp.,Salmonid,Y,
448,LINGCOD YOY,Ophiodon elongatus,Other Groundfish,Y,
453,SMELT YOY,Osmeridae,Smelt,Y,
458,PAINTED GREENLING,Oxylebius pictus,Other Groundfish,Y,
487,STARRY FLOUNDER YOY,Platichthys stellatus,Flatfish,Y,
492,RIGHT EYED FLATFISH YOY,Pleuronectidae,Flatfish,Y,
497,TURBOT YOY,Pleuronichthys spp.,Flatfish,Y,
512,SAND SOLE YOY,Psettichthys melanostictus,Flatfish,Y,
543,GRUNT SCULPIN YOY,Rhamphocottus richardsonii,Cottid,Y,
561,PACIFIC BONITO YOY,Sarda chiliensis,Fish,Y,
562,PACIFIC SARDINE YOY,Sardinops sagax,Clupeoid,Y,
564,PACIFIC MACKEREL YOY,Scomber japonicus,Fish,Y,
568,SCOMBRID YOY,Scombridae,Fish,Y,
572,CABEZON YOY,Scorpaenichthys marmoratus,Cottid,Y,
582,BROWN ROCKFISH YOY,Sebastes auriculatus,Rockfish,Y,
583,AURORA ROCKFISH YOY,Sebastes aurora,Rockfish,Y,
584,REDBANDED ROCKFISH YOY,Sebastes babcocki,Rockfish,Y,
592,DARKBLOTCHED ROCKFISH YOY,Sebastes crameri,Rockfish,Y,
593,CALICO ROCKFISH YOY,Sebastes dallii,Rockfish,Y,
594,SPLITNOSE ROCKFISH YOY,Sebastes diploproa,Rockfish,Y,
595,GREENSTRIPED ROCKFISH YOY,Sebastes elongatus,Rockfish,Y,
597,WIDOW ROCKFISH YOY,Sebastes entomelas,Rockfish,Y,
599,YELLOWTAIL ROCKFISH YOY,Sebastes flavidus,Rockfish,Y,
601,CHILIPEPPER YOY,Sebastes goodei,Rockfish,Y,
603,SQUARESPOT ROCKFISH YOY,Sebastes hopkinsi,Rockfish,Y,
604,SHORTBELLY ROCKFISH YOY,Sebastes jordani,Rockfish,Y,
606,COWCOD YOY,Sebastes levis,Rockfish,Y,
609,BLACK ROCKFISH YOY,Sebastes melanops,Rockfish,Y,
610,BLACKGILL ROCKFISH YOY,Sebastes melanostomus,Rockfish,Y,
611,VERMILION ROCKFISH YOY,Sebastes miniatus,Rockfish,Y,
612,BLUE ROCKFISH YOY,Sebastes mystinus,Rockfish,Y,
615,SPECKLED ROCKFISH YOY,Sebastes ovalis,Rockfish,Y,
616,BOCACCIO YOY,Sebastes paucispinis,Rockfish,Y,
618,CANARY ROCKFISH YOY,Sebastes pinniger,Rockfish,Y,
620,GRASS ROCKFISH YOY,Sebastes rastrelliger,Rockfish,Y,
624,YELLOWEYE ROCKFISH YOY,Sebastes ruberrimus,Rockfish,Y,
626,BANK ROCKFISH YOY,Sebastes rufus,Rockfish,Y,
627,STRIPETAIL ROCKFISH YOY,Sebastes saxicola,Rockfish,Y,
628,HALFBANDED ROCKFISH YOY,Sebastes semicinctus,Rockfish,Y,
629,OLIVE ROCKFISH YOY,Sebastes serranoides,Rockfish,Y,
630,TREEFISH YOY,Sebastes serriceps,Rockfish,Y,
635,PYGMY ROCKFISH YOY,Sebastes wilsoni,Rockfish,Y,
636,SHARPCHIN ROCKFISH YOY,Sebastes zacentrus,Rockfish,Y,
704,JACK MACKEREL YOY,Trachurus symmetricus,Fish,Y,
1940,ROCKFISH YOY,Sebastes spp.,Rockfish,Y,
2355,ROSY ROCKFISH GROUP YOY,Sebastomus spp,Rockfish,Y,
2381,BLACK-YELLOWTAIL ROCKFISH YOY,Sebastes spp. mel-flav complex,Rockfish,Y,
2411,EEL LARVAE,Leptocephalus larva,Fish,Y,
2413,PACIFIC TOMCOD YOY,Microgadus proximus,Other Groundfish,Y,
2437,COPPER ROCKFISH GROUP YOY,Sebastes spp. caurinus complex,Rockfish,Y,
2805,PUGET SOUND ROCKFISH YOY,Sebastes emphaeus,Rockfish,Y,
2823,IRISH LORD YOY,Hemilepidotus spp.,Cottid,Y,
31,WOLF-EEL,Anarrhichthys ocellatus,Other Groundfish,A,
71,ARROWTOOTH FLOUNDER,Atheresthes stomias,Flatfish,A,
147,PACIFIC SANDDAB,Citharichthys sordidus,Flatfish,A,
159,PACIFIC HERRING,Clupea pallasii,Clupeoid,A,
209,NORTHERN ANCHOVY,Engraulis mordax,Clupeoid,A,
253,REX SOLE,Glyptocephalus zachirus,Flatfish,A,
272,BROWN IRISH LORD,Hemilepidotus spinosus,Cottid,A,
364,SLENDER SOLE,Lyopsetta exilis,Flatfish,A,
382,PACIFIC HAKE,Merluccius productus,Other Groundfish,A,
387,DOVER SOLE,Microstomus pacificus,Flatfish,A,
438,PINK SALMON,Oncorhynchus gorbuscha,Salmonid,A,
440,SILVER SALMON,Oncorhynchus kisutch,Salmonid,A,
442,KING SALMON,Oncorhynchus tshawytscha,Salmonid,A,
443,SALMON,Oncorhynchus spp.,Salmonid,A,
448,LINGCOD,Ophiodon elongatus,Other Groundfish,A,
453,SMELT,Osmeridae,Smelt,A,
466,CALIFORNIA HALIBUT,Paralicthys californicus,Flatfish,A,
469,ENGLISH SOLE,Parophrys vetulus,Flatfish,A,
487,STARRY FLOUNDER,Platichthys stellatus,Flatfish,A,
494,CURLFIN SOLE.,Pleuronichthys decurrens,Flatfish,A,
512,SAND SOLE,Psettichthys melanostictus,Flatfish,A,
562,PACIFIC SARDINE,Sardinops sagax,Clupeoid,A,
564,PACIFIC MACKEREL,Scomber japonicus,Fish,A,
572,CABEZON,Scorpaenichthys marmoratus,Cottid,A,
582,BROWN ROCKFISH,Sebastes auriculatus,Rockfish,A,
599,YELLOWTAIL ROCKFISH,Sebastes flavidus,Rockfish,A,
601,CHILIPEPPER,Sebastes goodei,Rockfish,A,
604,SHORTBELLY ROCKFISH,Sebastes jordani,Rockfish,A,
615,SPECKLED ROCKFISH,Sebastes ovalis,Rockfish,A,
629,OLIVE ROCKFISH,Sebastes serranoides,Rockfish,A,
636,SHARPCHIN ROCKFISH,Sebastes zacentrus,Rockfish,A,
670,CALIFORNIA TONGUEFISH,Symphurus atricauda,Flatfish,A,
704,JACK MACKEREL,Trachurus symmetricus,Fish,A,
5,POACHER,Agonidae,Fish,U,
24,PACIFIC SANDLANCE,Ammodytes hexapterus,Fish,U,
73,TOPSMELT,Atherinops affinis,Fish,U,
74,JACKSMELT,Atherinopsis californiensis,Fish,U,
82,HIGHFIN DRAGONFISH,Bathophilus flemingi,Fish,U,
84,BLACKSMELT,Bathylagidae,Deep-Sea Smelt,U,
89,RONQUIL,Bathymasteridae,Fish,U,
136,PACIFIC VIPERFISH,Chauliodus macouni,Fish,U,
162,PACIFIC SAURY,Cololabis saira,Fish,U,
167,BLACKEYE GOBY,Rhinogobiops nicholsii,Fish,U,
186,PELAGIC STINGRAY,Dasyatis violacea,Elasmobranch,U,
192,CALIFORNIA HEADLIGHTFISH,Diaphus theta,Myctophid,U,
240,THREESPINE STICKLEBACK,Gasterosteus aculeatus,Fish,U,
243,WHITE CROAKER,Genyonemus lineatus,Fish,U,
261,GOBY,Gobiidae,Fish,U,
285,SIXGILL SHARK,Hexanchus griesus,Elasmobranch,U,
291,RATFISH,Hydrolagus colliei,Fish,U,
315,MEDUSAFISH,Icichthys lockingtoni,Fish,U,
317,RAGFISH,Icosteus aenigmaticus,Fish,U,
334,LAMPREY,Petromyzontidae,Fish,U,
345,CALIFORNIA SMOOTHTONGUE,Leuroglossus stilbius,Deep-Sea Smelt,U,
346,SNAILFISH,Liparididae,Fish,U,
358,BLACKMOUTH EELPOUT,Lycodapus fierasfer,Fish,U,
359,PALLID EELPOUT,Lycodapus mandibularis,Fish,U,
369,SLENDER SNIPEFISH,Macroramphosus gracilis,Fish,U,
376,BIGSCALE,Melamphaidae,Fish,U,
378,DRAGONFISH,Melanostomiidae,Fish,U,
392,COMMON MOLA,Mola mola,Fish,U,
407,MYCTOPHID,Myctophidae,Myctophid,U,Does not include California headlightfish and blue lanternfish.  Additional species were enumerated seperately over time such as the California lanternfish (see notes on species for years enumerated).
418,SNIPE EEL,Nemichthyidae,Fish,U,
465,BARRACUDINA,Paralepididae,Fish,U,
472,PACIFIC POMPANO,Peprilus simillimus,Fish,U,
491,SPOOKFISH,Opisthoproctidae,Fish,U,
503,PLAINFIN MIDSHIPMAN,Porichthys notatus,Fish,U,
507,BLUE SHARK,Prionace glauca,Elasmobranch,U,
521,BIG SKATE,Raja binoculata,Elasmobranch,U,
525,LONGNOSE SKATE,Raja rhina,Elasmobranch,U,
